_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,africa_region,age_range,americas_region,asia_region,europe_region,gender,general_geographic_region,have_you_entered_your_demographics_information,highest_education_achieved,how_against_vaccinations_is_this_tweet,how_based_on_emotions_are_the_statements_made_in_this_tweet,how_based_on_facts_are_the_statements_made_in_this_tweet,how_much_do_you_trust_the_government_of_the_country_you_reside_in,how_negative_is_the_sentiment_of_this_text,how_positive_is_the_sentiment_of_this_text,how_pro_vaccinations_is_this_tweet,is_this_tweet_relevant_to_the_subject_of_vaccinations,oceania_region,what_is_your_own_stance_on_vaccinations,africa_region_gold,age_range_gold,americas_region_gold,asia_region_gold,europe_region_gold,gender_gold,general_geographic_region_gold,have_you_entered_your_demographics_information_gold,highest_education_achieved_gold,how_against_vaccinations_is_this_tweet_gold,how_based_on_emotions_are_the_statements_made_in_this_tweet_gold,how_based_on_facts_are_the_statements_made_in_this_tweet_gold,how_much_do_you_trust_the_government_of_the_country_you_reside_in_gold,how_negative_is_the_sentiment_of_this_text_gold,how_positive_is_the_sentiment_of_this_text_gold,how_pro_vaccinations_is_this_tweet_gold,is_this_tweet_relevant_to_the_subject_of_vaccinations_gold,oceania_region_gold,text,what_is_your_own_stance_on_vaccinations_gold
2325534408,6/9/2019 13:25:30,false,4883694977,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,2,3,3,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,Why Are the Same People Who Failed at Science on Agent Orange in Charge of Vaccine Safety and Developmental Disorders at the CDC? • World Mercury Project,
2325534408,6/9/2019 14:23:24,false,4883792156,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,yes,,4,2,3,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Why Are the Same People Who Failed at Science on Agent Orange in Charge of Vaccine Safety and Developmental Disorders at the CDC? • World Mercury Project,
2325534408,6/9/2019 17:58:12,false,4884128450,,6/9/2019 17:42:40,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,5,4,1,,5,1,1,yes,,,,,,,,,,,,,,,,,,,,,Why Are the Same People Who Failed at Science on Agent Orange in Charge of Vaccine Safety and Developmental Disorders at the CDC? • World Mercury Project,
2325534408,6/10/2019 14:19:09,false,4885985163,,6/10/2019 14:14:58,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,4,4,2,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Why Are the Same People Who Failed at Science on Agent Orange in Charge of Vaccine Safety and Developmental Disorders at the CDC? • World Mercury Project,
2325534408,6/10/2019 22:09:47,false,4886783456,,6/10/2019 22:04:36,false,cf_internal,1.0,45316720,NLD,11,Delft,80.112.187.73,,,,,,,,yes,,4,4,1,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,Why Are the Same People Who Failed at Science on Agent Orange in Charge of Vaccine Safety and Developmental Disorders at the CDC? • World Mercury Project,
2325534410,6/10/2019 11:03:42,false,4885679673,,6/10/2019 10:57:21,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,3,2,4,yes,,,,,,,,,,,,,,,,,,,,,#USA #UPI #NEWS broadcast by #EMET_NEWS_PRESS: Study: Vaccines don't weaken the immune systems of babies - Another argument used by anti-vaccine groups bites the dust -- research shows no evidence that routine shots somehow dampen kids' immune systems...,
2325534410,6/14/2019 17:46:34,false,4897630892,,6/14/2019 17:45:13,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,4,,3,2,4,yes,,,,,,,,,,,,,,,,,,,,,#USA #UPI #NEWS broadcast by #EMET_NEWS_PRESS: Study: Vaccines don't weaken the immune systems of babies - Another argument used by anti-vaccine groups bites the dust -- research shows no evidence that routine shots somehow dampen kids' immune systems...,
2325534416,6/9/2019 13:25:30,false,4883694979,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,preach sis,
2325534416,6/9/2019 14:23:24,false,4883792165,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,preach sis,
2325534416,6/9/2019 18:08:49,false,4884142462,,6/9/2019 18:04:45,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,preach sis,
2325534416,6/10/2019 14:28:48,false,4886005790,,6/10/2019 14:27:29,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,preach sis,
2325534416,6/10/2019 22:19:26,false,4886796954,,6/10/2019 22:15:25,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,preach sis,
2325534417,6/9/2019 13:25:30,false,4883694968,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,2,3,4,yes,,,,,,,,,,,,,,,,,,,,,Back to the days before Spaniards brought life-saving smallpox vaccine to the Texas frontier.,
2325534417,6/9/2019 14:23:24,false,4883792163,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,1,2,2,,1,3,4,yes,,,,,,,,,,,,,,,,,,,,,Back to the days before Spaniards brought life-saving smallpox vaccine to the Texas frontier.,
2325534417,6/9/2019 17:58:12,false,4884128443,,6/9/2019 17:42:40,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,1,3,2,,3,1,4,yes,,,,,,,,,,,,,,,,,,,,,Back to the days before Spaniards brought life-saving smallpox vaccine to the Texas frontier.,
2325534417,6/10/2019 14:22:00,false,4885989942,,6/10/2019 14:19:11,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,5,5,1,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Back to the days before Spaniards brought life-saving smallpox vaccine to the Texas frontier.,
2325534417,6/10/2019 22:13:13,false,4886788225,,6/10/2019 22:08:38,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,1,3,2,,1,3,3,yes,,,,,,,,,,,,,,,,,,,,,Back to the days before Spaniards brought life-saving smallpox vaccine to the Texas frontier.,
2325534420,6/9/2019 13:25:30,false,4883694972,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,4,3,2,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,I told you so... sorry. #vaccines are toxic,
2325534420,6/9/2019 14:23:24,false,4883792158,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,5,2,1,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,I told you so... sorry. #vaccines are toxic,
2325534420,6/9/2019 18:08:49,false,4884142456,,6/9/2019 18:04:45,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,5,4,1,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,I told you so... sorry. #vaccines are toxic,
2325534420,6/10/2019 14:27:28,false,4886003300,,6/10/2019 14:22:02,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,5,5,1,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,I told you so... sorry. #vaccines are toxic,
2325534420,6/10/2019 22:15:23,false,4886791395,,6/10/2019 22:13:15,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,5,5,1,,5,1,1,yes,,,,,,,,,,,,,,,,,,,,,I told you so... sorry. #vaccines are toxic,
2325534425,6/10/2019 11:26:21,false,4885703218,,6/10/2019 11:21:00,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,2,3,2,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Pentagon Leak: Vaccine Designed to Modify Human Behavior - FUNVAX,
2325534425,6/17/2019 09:30:04,false,4903159511,,6/17/2019 09:26:30,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,2,3,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,Pentagon Leak: Vaccine Designed to Modify Human Behavior - FUNVAX,
2325534428,6/10/2019 11:29:09,false,4885706246,,6/10/2019 11:26:23,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,3,3,3,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,@CaptainTigerAH Express news also aired news two children died due to expired vaccination .,
2325534428,6/17/2019 09:34:24,false,4903166299,,6/17/2019 09:32:40,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,2,3,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,@CaptainTigerAH Express news also aired news two children died due to expired vaccination .,
2325534429,6/10/2019 11:20:59,false,4885697631,,6/10/2019 11:17:51,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,3,,3,1,4,yes,,,,,,,,,,,,,,,,,,,,,"@VirologyComics @doritmi @ABC During this huge Measles resurgence in Europe (particularly Italy) the rise of any Italian anti-vaccine/anti-science political party will lead to more vaccine-preventable disease &amp; death.
Sadly our own U.S. administration’s anti-science agenda is damaging health too.",
2325534429,6/17/2019 09:30:04,false,4903159506,,6/17/2019 09:26:30,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,3,2,,3,1,3,yes,,,,,,,,,,,,,,,,,,,,,"@VirologyComics @doritmi @ABC During this huge Measles resurgence in Europe (particularly Italy) the rise of any Italian anti-vaccine/anti-science political party will lead to more vaccine-preventable disease &amp; death.
Sadly our own U.S. administration’s anti-science agenda is damaging health too.",
2325534433,6/9/2019 13:25:30,false,4883694978,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,3,3,2,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,Vaccine injuries are #NotRare,
2325534433,6/9/2019 14:23:24,false,4883792159,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,5,2,1,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,Vaccine injuries are #NotRare,
2325534433,6/9/2019 18:04:44,false,4884136756,,6/9/2019 17:58:14,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,2,1,2,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Vaccine injuries are #NotRare,
2325534433,6/10/2019 14:27:28,false,4886003308,,6/10/2019 14:22:02,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,4,3,1,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Vaccine injuries are #NotRare,
2325534433,6/11/2019 17:43:51,false,4888595608,,6/11/2019 17:42:17,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,4,4,1,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,Vaccine injuries are #NotRare,
2325534434,6/10/2019 11:20:59,false,4885697639,,6/10/2019 11:17:51,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,1,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,"And Ravi created a zombie vaccine and asked Liv to scratch her so he could test it. And nobody cried. Like, not even one person. Not even the person posting this.",
2325534434,6/14/2019 19:32:19,false,4897951728,,6/14/2019 19:30:54,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"And Ravi created a zombie vaccine and asked Liv to scratch her so he could test it. And nobody cried. Like, not even one person. Not even the person posting this.",
2325534437,6/9/2019 13:25:30,false,4883694970,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,3,4,4,,4,2,1,yes,,,,,,,,,,,,,,,,,,,,,"#DaylightSavings 
In 2014, Dr. William Thompson, a long-time researcher for the CDC confessed in writing that 2004 study on safety of MMR vaccine which HE CO-AUTHORED claimed it did not cause autism—when in fact it did.

Tens of thousands were injured.
#Vaxxed #MAGA🇺🇸 #QAnon🐰",
2325534437,6/9/2019 14:23:24,false,4883792157,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,5,2,2,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,"#DaylightSavings 
In 2014, Dr. William Thompson, a long-time researcher for the CDC confessed in writing that 2004 study on safety of MMR vaccine which HE CO-AUTHORED claimed it did not cause autism—when in fact it did.

Tens of thousands were injured.
#Vaxxed #MAGA🇺🇸 #QAnon🐰",
2325534437,6/9/2019 17:58:12,false,4884128436,,6/9/2019 17:42:40,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,4,2,2,,4,1,1,yes,,,,,,,,,,,,,,,,,,,,,"#DaylightSavings 
In 2014, Dr. William Thompson, a long-time researcher for the CDC confessed in writing that 2004 study on safety of MMR vaccine which HE CO-AUTHORED claimed it did not cause autism—when in fact it did.

Tens of thousands were injured.
#Vaxxed #MAGA🇺🇸 #QAnon🐰",
2325534437,6/10/2019 14:19:09,false,4885985173,,6/10/2019 14:14:58,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,5,4,4,,5,2,1,yes,,,,,,,,,,,,,,,,,,,,,"#DaylightSavings 
In 2014, Dr. William Thompson, a long-time researcher for the CDC confessed in writing that 2004 study on safety of MMR vaccine which HE CO-AUTHORED claimed it did not cause autism—when in fact it did.

Tens of thousands were injured.
#Vaxxed #MAGA🇺🇸 #QAnon🐰",
2325534437,6/10/2019 22:09:47,false,4886783451,,6/10/2019 22:04:36,false,cf_internal,1.0,45316720,NLD,11,Delft,80.112.187.73,,,,,,,,yes,,4,1,3,,4,1,2,yes,,,,,,,,,,,,,,,,,,,,,"#DaylightSavings 
In 2014, Dr. William Thompson, a long-time researcher for the CDC confessed in writing that 2004 study on safety of MMR vaccine which HE CO-AUTHORED claimed it did not cause autism—when in fact it did.

Tens of thousands were injured.
#Vaxxed #MAGA🇺🇸 #QAnon🐰",
2325534439,6/9/2019 13:25:30,false,4883694980,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,3,4,,2,4,4,yes,,,,,,,,,,,,,,,,,,,,,"Today we remember Dr Albert Sabin -developer of the oral polio vaccine (OPV)

Thanks to Dr Sabin OPV has played an immense role in the fight to #endpolio

This clip explains why why we still need OPV to stop the virus wherever it is found!

 

#VaccinesWork",
2325534439,6/9/2019 14:23:24,false,4883792160,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,1,3,3,,1,3,5,yes,,,,,,,,,,,,,,,,,,,,,"Today we remember Dr Albert Sabin -developer of the oral polio vaccine (OPV)

Thanks to Dr Sabin OPV has played an immense role in the fight to #endpolio

This clip explains why why we still need OPV to stop the virus wherever it is found!

 

#VaccinesWork",
2325534439,6/10/2019 14:35:57,false,4886021972,,6/10/2019 14:34:02,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,3,5,,2,5,5,yes,,,,,,,,,,,,,,,,,,,,,"Today we remember Dr Albert Sabin -developer of the oral polio vaccine (OPV)

Thanks to Dr Sabin OPV has played an immense role in the fight to #endpolio

This clip explains why why we still need OPV to stop the virus wherever it is found!

 

#VaccinesWork",
2325534439,6/10/2019 22:30:15,false,4886812245,,6/10/2019 22:27:49,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,1,4,2,,1,3,3,yes,,,,,,,,,,,,,,,,,,,,,"Today we remember Dr Albert Sabin -developer of the oral polio vaccine (OPV)

Thanks to Dr Sabin OPV has played an immense role in the fight to #endpolio

This clip explains why why we still need OPV to stop the virus wherever it is found!

 

#VaccinesWork",
2325534439,6/11/2019 17:50:33,false,4888608206,,6/11/2019 17:48:57,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,4,4,,1,4,4,yes,,,,,,,,,,,,,,,,,,,,,"Today we remember Dr Albert Sabin -developer of the oral polio vaccine (OPV)

Thanks to Dr Sabin OPV has played an immense role in the fight to #endpolio

This clip explains why why we still need OPV to stop the virus wherever it is found!

 

#VaccinesWork",
2325534440,6/9/2019 13:25:30,false,4883694976,,6/9/2019 13:13:45,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,4,,1,4,4,yes,,,,,,,,,,,,,,,,,,,,,"The next award, the @NELFT_IPC award, is presented by @stephanie_dawe for the outstanding work of Sultana in doubling our flu vaccinations @NELFT #flufighters",
2325534440,6/9/2019 14:23:24,false,4883792169,,6/9/2019 14:11:48,false,cf_internal,0.6667,45274763,NLD,"","",85.144.109.91,,,,,,,,,,1,1,1,,1,3,4,yes,,,,,,,,,,,,,,,,,,,,,"The next award, the @NELFT_IPC award, is presented by @stephanie_dawe for the outstanding work of Sultana in doubling our flu vaccinations @NELFT #flufighters",
2325534440,6/9/2019 18:08:49,false,4884142460,,6/9/2019 18:04:45,false,cf_internal,1.0,45314783,BEL,08,Aalst,78.22.42.40,,,,,,,,yes,,1,1,4,,1,5,4,yes,,,,,,,,,,,,,,,,,,,,,"The next award, the @NELFT_IPC award, is presented by @stephanie_dawe for the outstanding work of Sultana in doubling our flu vaccinations @NELFT #flufighters",
2325534440,6/10/2019 14:28:48,false,4886005798,,6/10/2019 14:27:29,false,cf_internal,1.0,45316032,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,1,3,3,,1,4,1,yes,,,,,,,,,,,,,,,,,,,,,"The next award, the @NELFT_IPC award, is presented by @stephanie_dawe for the outstanding work of Sultana in doubling our flu vaccinations @NELFT #flufighters",
2325534440,6/10/2019 22:15:23,false,4886791398,,6/10/2019 22:13:15,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,"The next award, the @NELFT_IPC award, is presented by @stephanie_dawe for the outstanding work of Sultana in doubling our flu vaccinations @NELFT #flufighters",
2325534441,6/10/2019 11:29:09,false,4885706241,,6/10/2019 11:26:23,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,3,,1,2,1,yes,,,,,,,,,,,,,,,,,,,,,"My latest article for @SkeptInquiry, ""The Enduring Legend of the Changeling,"" draws a connection between this ancient belief and the modern cases of facilitated communication and the anti-vaccination movement.",
2325534441,6/17/2019 09:40:52,false,4903175137,,6/17/2019 09:34:25,false,cf_internal,1.0,45322597,NLD,11,Delft,145.94.169.142,,,,,,,,yes,,1,2,2,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,"My latest article for @SkeptInquiry, ""The Enduring Legend of the Changeling,"" draws a connection between this ancient belief and the modern cases of facilitated communication and the anti-vaccination movement.",
2325534443,6/10/2019 11:03:42,false,4885679670,,6/10/2019 10:57:21,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,1,2,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Fever following men b vaccination - Dr Cameron from Health Protection Scotland now presenting,
2325534443,6/10/2019 22:33:25,false,4886817369,,6/10/2019 22:30:17,false,cf_internal,1.0,45316707,NLD,11,Delft,80.114.139.224,,,,,,,,yes,,3,1,4,,1,1,3,yes,,,,,,,,,,,,,,,,,,,,,Fever following men b vaccination - Dr Cameron from Health Protection Scotland now presenting,
2325534443,6/11/2019 13:43:46,false,4888085454,,6/11/2019 13:41:24,false,cf_internal,1.0,45316032,NLD,11,Delft,145.94.127.141,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,Fever following men b vaccination - Dr Cameron from Health Protection Scotland now presenting,
2325534443,6/11/2019 17:55:29,false,4888617967,,6/11/2019 17:50:34,false,cf_internal,1.0,45318048,NLD,07,Amsterdam,82.169.49.130,,,,,,,,yes,,2,1,4,,2,1,1,yes,,,,,,,,,,,,,,,,,,,,,Fever following men b vaccination - Dr Cameron from Health Protection Scotland now presenting,
2325534443,6/14/2019 16:56:15,false,4897469415,,6/14/2019 16:49:37,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,1,3,,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,Fever following men b vaccination - Dr Cameron from Health Protection Scotland now presenting,
2325534450,6/11/2019 14:11:36,false,4888142427,,6/11/2019 14:07:51,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,1,2,4,,1,2,1,yes,,,,,,,,,,,,,,,,,,,,,Cuba develops world's first lung cancer vaccine:  via @YouTube,
2325534456,6/10/2019 11:03:42,false,4885679665,,6/10/2019 10:57:21,false,cf_internal,1.0,45274764,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,4,3,2,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,"The largest medical experiment in history."" #noscience #doublyblind #vaxXed #wedid #vaccinations #noprinciples #noproof #cdccartel #madeup #causingharm #mysonwasvaccinedamaged #autism #earinfections #asthma #pneumoni",
2325534456,6/14/2019 16:58:19,false,4897479534,,6/14/2019 16:56:17,false,cf_internal,1.0,45322597,NLD,07,Rozenburg,213.127.105.106,,,,,,,,yes,,3,4,1,,3,1,1,yes,,,,,,,,,,,,,,,,,,,,,"The largest medical experiment in history."" #noscience #doublyblind #vaxXed #wedid #vaccinations #noprinciples #noproof #cdccartel #madeup #causingharm #mysonwasvaccinedamaged #autism #earinfections #asthma #pneumoni",
